COD_UF,COD_MUNICIPIO,NOME_MUNICIPIO,POPULACAO
35,47304,Santana de Parnaíba,145073
35,47403,Santa Rita d'Oeste,2476
35,47502,Santa Rita do Passa Quatro,27641
35,47601,Santa Rosa de Viterbo,26960
35,47650,Santa Salete,1558
35,47700,Santo Anastácio,20855
35,47809,Santo André,723889
35,47908,Santo Antônio da Alegria,7024
35,48005,Santo Antônio de Posse,23742
35,48054,Santo Antônio do Aracanguá,8541
35,48104,Santo Antônio do Jardim,5926
35,48203,Santo Antônio do Pinhal,6843
35,48302,Santo Expedito,3159
35,48401,Santópolis do Aguapeí,4856
35,48500,Santos,433991
35,48609,São Bento do Sapucaí,10907
35,48708,São Bernardo do Campo,849874
35,48807,São Caetano do Sul,162763
35,48906,São Carlos,256915
35,49003,São Francisco,2813
35,49102,São João da Boa Vista,92315
35,49201,São João das Duas Pontes,2555
35,49250,São João de Iracema,1942
35,49300,São João do Pau d'Alho,2095
35,49409,São Joaquim da Barra,52737
35,49508,São José da Bela Vista,8991
35,49607,São José do Barreiro,4141
35,49706,São José do Rio Pardo,55298
35,49805,São José do Rio Preto,469173
35,49904,São José dos Campos,737310
35,49953,São Lourenço da Serra,16127
35,50001,São Luiz do Paraitinga,10693
35,50100,São Manuel,41287
35,50209,São Miguel Arcanjo,33071
35,50308,São Paulo,12396372
35,50407,São Pedro,36298
35,50506,São Pedro do Turvo,7724
35,50605,São Roque,93076
35,50704,São Sebastião,91637
35,50803,São Sebastião da Grama,12137
35,50902,São Simão,15446
35,51009,São Vicente,370839
35,51108,Sarapuí,10493
35,51207,Sarutaiá,3623
35,51306,Sebastianópolis do Sul,3595
35,51405,Serra Azul,15292
35,51504,Serrana,46166
35,51603,Serra Negra,29669
35,51702,Sertãozinho,128432
35,51801,Sete Barras,12731
35,51900,Severínia,17820
35,52007,Silveiras,6375
35,52106,Socorro,41690
35,52205,Sorocaba,695328
35,52304,Sud Mennucci,7738
35,52403,Sumaré,289875
35,52502,Suzano,303397
35,52551,Suzanápolis,4063
35,52601,Tabapuã,12561
35,52700,Tabatinga,16787
35,52809,Taboão da Serra,297528
35,52908,Taciba,6371
35,53005,Taguaí,14415
35,53104,Taiaçu,6346
35,53203,Taiúva,5562
35,53302,Tambaú,23255
35,53401,Tanabi,26231
35,53500,Tapiraí,7725
35,53609,Tapiratiba,12940
35,53658,Taquaral,2815
35,53708,Taquaritinga,57547
35,53807,Taquarituba,23292
35,53856,Taquarivaí,5968
35,53906,Tarabai,7609
35,53955,Tarumã,15361
35,54003,Tatuí,124134
35,54102,Taubaté,320820
35,54201,Tejupá,4452
35,54300,Teodoro Sampaio,23395
35,54409,Terra Roxa,9502
35,54508,Tietê,42946
35,54607,Timburi,2647
35,54656,Torre de Pedra,2432
35,54706,Torrinha,10100
35,54755,Trabiju,1752
35,54805,Tremembé,48228
35,54904,Três Fronteiras,5856
35,54953,Tuiuti,7058
35,55000,Tupã,65615
35,55109,Tupi Paulista,15670
35,55208,Turiúba,2024
35,55307,Turmalina,1667
